2,3,9													
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	Vietnamese	EN	CEN	JP	CDE
vo_eny_eny_	brogunson_	death_scream_00	vo_eny_eny_brogunson_death_scream_00	omuk	hambo	Brogunson	shocked	(sound) short deathsound			0		0
vo_eny_eny_	brogunson_	death_scream_01	vo_eny_eny_brogunson_death_scream_01	omuk	hambo	Brogunson	shocked	(sound) short deathsound			0		0
vo_eny_eny_	brogunson_	death_scream_02	vo_eny_eny_brogunson_death_scream_02	omuk	hambo	Brogunson	shocked	(sound) short deathsound			0		0
vo_eny_eny_	brogunson_	death_scream_03	vo_eny_eny_brogunson_death_scream_03	omuk	hambo	Brogunson	shocked	(sound) short deathsound			0		0
vo_eny_eny_	brogunson_	death_scream_04	vo_eny_eny_brogunson_death_scream_04	omuk	hambo	Brogunson	shocked	(sound) short deathsound			0		0
vo_eny_eny_	brogunson_	death_scream_muffled_00	vo_eny_eny_brogunson_death_scream_muffled_00	omuk	hambo	Brogunson	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	brogunson_	death_scream_muffled_01	vo_eny_eny_brogunson_death_scream_muffled_01	omuk	hambo	Brogunson	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	brogunson_	death_scream_muffled_02	vo_eny_eny_brogunson_death_scream_muffled_02	omuk	hambo	Brogunson	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	brogunson_	death_scream_muffled_03	vo_eny_eny_brogunson_death_scream_muffled_03	omuk	hambo	Brogunson	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	brogunson_	death_scream_muffled_04	vo_eny_eny_brogunson_death_scream_muffled_04	omuk	hambo	Brogunson	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	brogunson_	detect_corpse_female_02	vo_eny_eny_brogunson_detect_corpse_female_02	omuk		Brogunson	shocked	sees a corpse	Ah…ả ta đã chết!	Ah…she's dead!	2		0
vo_eny_eny_	brogunson_	detect_corpse_female_03	vo_eny_eny_brogunson_detect_corpse_female_03	omuk		Brogunson	shocked	sees a corpse	Chúng đã giết ả ta!	They killed her!	3		0
vo_eny_eny_	brogunson_	detect_corpse_male_00	vo_eny_eny_brogunson_detect_corpse_male_00	omuk		Brogunson	shocked	sees a corpse	Thằng này đã chết!	He's dead!	2		0
vo_eny_eny_	brogunson_	detect_corpse_male_01	vo_eny_eny_brogunson_detect_corpse_male_01	omuk		Brogunson	shocked	sees a corpse	Chúng…chúng đã giết thằng này!	They…they killed him!	3		0
vo_eny_eny_	brogunson_	detect_corpse_neutral_00	vo_eny_eny_brogunson_detect_corpse_neutral_00	omuk	hambo	Brogunson	shocked	sees a corpse	Giúp với! Có người chết!	Help! Murder!	2		0
vo_eny_eny_	brogunson_	detect_corpse_neutral_01	vo_eny_eny_brogunson_detect_corpse_neutral_01	omuk	hambo	Brogunson	shocked	sees a corpse	Có…có kẻ giết người!	There's…there's a killer!	3		0
vo_eny_eny_	brogunson_	detect_lightsource_00	vo_eny_eny_brogunson_detect_lightsource_00	omuk	hambo	Brogunson	solemn	sees extiguished lamp	Thằng nào thắp lại lửa đi!	Someone fix that light!	4		0
vo_eny_eny_	brogunson_	detect_lightsource_01	vo_eny_eny_brogunson_detect_lightsource_01	omuk	hambo	Brogunson	solemn	sees extiguished lamp	Đứa nào để lửa tắt?	Who let that go out?	5		0
vo_eny_eny_	brogunson_	detect_lightsource_02	vo_eny_eny_brogunson_detect_lightsource_02	omuk	hambo	Brogunson	annoyed	sees extiguished lamp	Er, lửa tàn rồi!	Er, the flame died!	4		0
vo_eny_eny_	brogunson_	detect_player_00	vo_eny_eny_brogunson_detect_player_00	omuk	hambo	Brogunson	frightened	sees a player character	Là chúng!	It's them!	2	JAPANESE	1
vo_eny_eny_	brogunson_	detect_player_01	vo_eny_eny_brogunson_detect_player_01	omuk	hambo	Brogunson	frightened	sees a player character	Mày!	You!	1	JAPANESE	1
vo_eny_eny_	brogunson_	detect_player_02	vo_eny_eny_brogunson_detect_player_02	omuk	hambo	Brogunson	frightened	sees a player character	Tao biết mày!	I know you!	3		0
vo_eny_eny_	brogunson_	detect_player_proximity_00	vo_eny_eny_brogunson_detect_player_proximity_00	omuk	hambo	Brogunson	tense	senses a nearby player character	Có cảm giác…	That feeling…	2		0
vo_eny_eny_	brogunson_	detect_player_proximity_01	vo_eny_eny_brogunson_detect_player_proximity_01	omuk	hambo	Brogunson	tense	senses a nearby player character	Khóe mắt của tao.	Corner of my eye.	4		0
vo_eny_eny_	brogunson_	detect_player_proximity_02	vo_eny_eny_brogunson_detect_player_proximity_02	omuk	hambo	Brogunson	tense	senses a nearby player character	Có kẻ đang ở gần đây…	Someone is close…	3		0
vo_eny_eny_	brogunson_	detect_unconscious_female_01	vo_eny_eny_brogunson_detect_unconscious_female_01	omuk		Brogunson	shocked	sees unconcious person	Ả...ả ta bị đánh khá đau đấy.	She…she was hit hard.	4		0
vo_eny_eny_	brogunson_	detect_unconscious_female_02	vo_eny_eny_brogunson_detect_unconscious_female_02	omuk		Brogunson	shocked	sees unconcious person	Ả ta ngất xỉu rồi.	She's unconscious.	2		0
vo_eny_eny_	brogunson_	detect_unconscious_female_03	vo_eny_eny_brogunson_detect_unconscious_female_03	omuk		Brogunson	shocked	sees unconcious person	Ả ta bị tấn công.	She was attacked.	3		0
