2,3,9															
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	Vietnamese	EN	CEN	Edited JP	CDE	Romaji (Phonetics)	Column2
vo_eny_eny_	enemy_00_	alarm_area_00	vo_eny_eny_enemy_00_alarm_area_00	omuk	hambo	Enemy	high tension	sounds the alarm	Tiếng báo động!	Sound the alarm!	3	警報を鳴らせ！	1	keihou wo narase!	
vo_eny_eny_	enemy_00_	alarm_area_01	vo_eny_eny_enemy_00_alarm_area_01	omuk	hambo	Enemy	high tension	sounds the alarm	Chúng ta bị tấn công!	We are under attack!	4		0		
vo_eny_eny_	enemy_00_	alarm_area_02	vo_eny_eny_enemy_00_alarm_area_02	omuk	hambo	Enemy	high tension	sounds the alarm	Gọi thêm người!	To arms!	2		0		
vo_eny_eny_	enemy_00_	alarm_area_03	vo_eny_eny_enemy_00_alarm_area_03	omuk	hambo	Enemy	high tension	sounds the alarm	Gọi tiếp viện ngay!	Call reinforcements!	2		0		
vo_eny_eny_	enemy_00_	alarm_area_04	vo_eny_eny_enemy_00_alarm_area_04	omuk	hambo	Enemy	high tension	sounds the alarm	Báo cho người khác biết!	Alert the others!	3		0		
vo_eny_eny_	enemy_00_	alarm_local_00	vo_eny_eny_enemy_00_alarm_local_00	omuk	hambo	Enemy	urgent, tense	calls for backup	Ở đây!	Over here!	2	此処だ！	1	koko da	
vo_eny_eny_	enemy_00_	alarm_local_01	vo_eny_eny_enemy_00_alarm_local_01	omuk	hambo	Enemy	urgent, tense	calls for backup	Tới chỗ tôi!	To me!	2		0		
vo_eny_eny_	enemy_00_	alarm_local_02	vo_eny_eny_enemy_00_alarm_local_02	omuk	hambo	Enemy	urgent, tense	calls for backup	Tôi cần hỗ trợ!	I need backup!	3		0		
vo_eny_eny_	enemy_00_	alarm_local_03	vo_eny_eny_enemy_00_alarm_local_03	omuk	hambo	Enemy	urgent, tense	calls for backup	Giúp với!	Help!	1		0		
vo_eny_eny_	enemy_00_	alarm_local_04	vo_eny_eny_enemy_00_alarm_local_04	omuk	hambo	Enemy	urgent, tense	calls for backup	Tập hợp!	Assemble!	1		0		
