2,3,9													
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN	EN	CEN	JP	CDE
vo_eny_eny_	static_00_	alarm_area_00	vo_eny_eny_static_00_alarm_area_00	omuk	hambo	Static	high tension	sounds the alarm	Tiếng báo động!	Sound the alarm!	3		0
vo_eny_eny_	static_00_	alarm_area_01	vo_eny_eny_static_00_alarm_area_01	omuk	hambo	Static	high tension	sounds the alarm	Chúng ta bị tấn công!	We are being attacked!	4		0
vo_eny_eny_	static_00_	alarm_area_02	vo_eny_eny_static_00_alarm_area_02	omuk	hambo	Static	high tension	sounds the alarm	Gọi thêm người!	To arms!	2		0
vo_eny_eny_	static_00_	alarm_area_03	vo_eny_eny_static_00_alarm_area_03	omuk	hambo	Static	high tension	sounds the alarm	Gọi tiếp viện ngay!	We need reinforcements!	3		0
vo_eny_eny_	static_00_	alarm_area_04	vo_eny_eny_static_00_alarm_area_04	omuk	hambo	Static	high tension	sounds the alarm	Báo cho người khác biết!	Alert the others!	3		0
vo_eny_eny_	static_00_	alarm_local_00	vo_eny_eny_static_00_alarm_local_00	omuk	hambo	Static	urgent, tense	calls for backup	Ở đây!	Get over here!	3		0
vo_eny_eny_	static_00_	alarm_local_01	vo_eny_eny_static_00_alarm_local_01	omuk	hambo	Static	urgent, tense	calls for backup	Tới chỗ tôi!	To me, to me!	4		0
vo_eny_eny_	static_00_	alarm_local_02	vo_eny_eny_static_00_alarm_local_02	omuk	hambo	Static	urgent, tense	calls for backup	Tôi cần hỗ trợ!	I need backup!	3		0
vo_eny_eny_	static_00_	alarm_local_03	vo_eny_eny_static_00_alarm_local_03	omuk	hambo	Static	urgent, tense	calls for backup	Giúp với!	Help!	1		0
vo_eny_eny_	static_00_	alarm_local_04	vo_eny_eny_static_00_alarm_local_04	omuk	hambo	Static	urgent, tense	calls for backup	Tập hợp!	Over here!	2		0
vo_eny_eny_	static_00_	alarm_local_05	vo_eny_eny_static_00_alarm_local_05	omuk	hambo	Static	urgent, tense	calls for backup	Lính đâu!	Men, over here!	3		0
vo_eny_eny_	static_00_	alarm_local_06	vo_eny_eny_static_00_alarm_local_06	omuk	hambo	Static	urgent, tense	curses	Chết tiệt!	Damn it!	2		0
vo_eny_eny_	static_00_	alarm_stop_00	vo_eny_eny_static_00_alarm_stop_00	omuk	hambo	Static	commanding	end of alarm	Ah… Chúng đã trốn thoát! Tắt báo động đi.	Ah… They must have escaped. Cancel the alarm.	8		0
vo_eny_eny_	static_00_	alarm_stop_01	vo_eny_eny_static_00_alarm_stop_01	omuk	hambo	Static	commanding	end of alarm	Oh, hết rồi, ngưng tìm kiếm thôi.	Oh, call off the search! As you were.	8		0
vo_eny_eny_	static_00_	alarm_stop_02	vo_eny_eny_static_00_alarm_stop_02	omuk	hambo	Static	commanding	end of alarm	Chúng đã chạy trốn! Bình tĩnh lại nào các chàng trai!	They must have run. Stand down, men.	7		0
vo_eny_eny_	static_00_	alarm_stop_03	vo_eny_eny_static_00_alarm_stop_03	omuk	hambo	Static	commanding	end of alarm	Không còn nguy hiểm! Yên tâm đi mọi người.	No more danger. At ease, everyone.	6		0
vo_eny_eny_	static_00_	alarm_stop_04	vo_eny_eny_static_00_alarm_stop_04	omuk	hambo	Static	commanding	end of alarm	Ah! Có vẻ chúng ta đã đuổi hắn đi!	Ah! Looks like we've driven them off!	7		0
vo_eny_eny_	static_00_	alarm_stop_05	vo_eny_eny_static_00_alarm_stop_05	omuk	hambo	Static	commanding	end of alarm	Tất cả trống!	All clear!	2		0
vo_eny_eny_	static_00_	carry_object_00	vo_eny_eny_static_00_carry_object_00	omuk		Static		(sound) carries heavy object			0		0
vo_eny_eny_	static_00_	clear_throat_00	vo_eny_eny_static_00_clear_throat_00	omuk		Static		(sound) clears throat			0		0
vo_eny_eny_	static_00_	cough_00	vo_eny_eny_static_00_cough_00	omuk		Static		(sound) coughs			0		0
vo_eny_eny_	static_00_	danger_toohigh_00	vo_eny_eny_static_00_danger_toohigh_00	omuk	hambo	Static	shocked	has seen a player far above him	Nhìn kìa! Ở trên chúng ta! Ngắm bắn đi!	Look! Above us! Taking aim!	5		0
vo_eny_eny_	static_00_	danger_toohigh_01	vo_eny_eny_static_00_danger_toohigh_01	omuk	hambo	Static	shocked	has seen a player far above him	Hắn ở phía trên chúng ta!	They are above us!	4		0
vo_eny_eny_	static_00_	danger_toohigh_02	vo_eny_eny_static_00_danger_toohigh_02	omuk	hambo	Static	shocked	has seen a player far above him	Hắn tấn công từ phía trên!	They're attacking from above!	4		0
vo_eny_eny_	static_00_	danger_unreachable_00	vo_eny_eny_static_00_danger_unreachable_00	omuk	hambo	Static	angry	has seen a player, but can't get to that spot	Hèn nhát! Xuống chiến đấu như người đàn ông xem!	Cowards! Fight like men!	4		0
vo_eny_eny_	static_00_	danger_unreachable_01	vo_eny_eny_static_00_danger_unreachable_01	omuk	hambo	Static	angry	has seen a player, but can't get to that spot	Hắn lên đó bằng cách nào?	How did they get there?	5		0
vo_eny_eny_	static_00_	danger_unreachable_02	vo_eny_eny_static_00_danger_unreachable_02	omuk	hambo	Static	angry	has seen a player, but can't get to that spot	Tao không thể lên với mày…	Oh, I can't reach them!	5		0
vo_eny_eny_	static_00_	death_scream_00	vo_eny_eny_static_00_death_scream_00	omuk	hambo	Static	shocked	(sound) short deathsound			0		0
vo_eny_eny_	static_00_	death_scream_01	vo_eny_eny_static_00_death_scream_01	omuk	hambo	Static	shocked	(sound) short deathsound			0		0
vo_eny_eny_	static_00_	death_scream_02	vo_eny_eny_static_00_death_scream_02	omuk	hambo	Static	shocked	(sound) short deathsound			0		0
vo_eny_eny_	static_00_	death_scream_03	vo_eny_eny_static_00_death_scream_03	omuk	hambo	Static	shocked	(sound) short deathsound			0		0
vo_eny_eny_	static_00_	death_scream_04	vo_eny_eny_static_00_death_scream_04	omuk	hambo	Static	shocked	(sound) short deathsound			0		0
vo_eny_eny_	static_00_	death_scream_muffled_00	vo_eny_eny_static_00_death_scream_muffled_00	omuk	hambo	Static	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	static_00_	death_scream_muffled_01	vo_eny_eny_static_00_death_scream_muffled_01	omuk	hambo	Static	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	static_00_	death_scream_muffled_02	vo_eny_eny_static_00_death_scream_muffled_02	omuk	hambo	Static	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	static_00_	death_scream_muffled_03	vo_eny_eny_static_00_death_scream_muffled_03	omuk	hambo	Static	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	static_00_	death_scream_muffled_04	vo_eny_eny_static_00_death_scream_muffled_04	omuk	hambo	Static	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	static_00_	detect_corpse_female_02	vo_eny_eny_static_00_detect_corpse_female_02	omuk		Static	shocked	sees a corpse	Cô ấy đã chết!	She's dead!	2		0
vo_eny_eny_	static_00_	detect_corpse_female_03	vo_eny_eny_static_00_detect_corpse_female_03	omuk		Static	shocked	sees a corpse	Chúng đã giết cô ấy…	They must have killed her…	5		0
vo_eny_eny_	static_00_	detect_corpse_male_00	vo_eny_eny_static_00_detect_corpse_male_00	omuk		Static	shocked	sees a corpse	Anh ta đã chết…	He's dead…	2		0
vo_eny_eny_	static_00_	detect_corpse_male_01	vo_eny_eny_static_00_detect_corpse_male_01	omuk		Static	shocked	sees a corpse	Chúng đã giết anh ta!	They killed him!	3		0
vo_eny_eny_	static_00_	detect_corpse_neutral_02	vo_eny_eny_static_00_detect_corpse_neutral_02	omuk	hambo	Static	shocked	sees a corpse	Có người chết!	Murder!	1		0
vo_eny_eny_	static_00_	detect_corpse_neutral_03	vo_eny_eny_static_00_detect_corpse_neutral_03	omuk	hambo	Static	shocked	sees a corpse	Sát thủ bây ơi!	Assassins!	1		0
vo_eny_eny_	static_00_	detect_footsteps_00	vo_eny_eny_static_00_detect_footsteps_00	omuk		Static	dismissive	sees player footprints	Huh? Dấu chân…	Huh? Footprints…	2		0
vo_eny_eny_	static_00_	detect_footsteps_01	vo_eny_eny_static_00_detect_footsteps_01	omuk		Static	dismissive	sees player footprints	Ai để lại dấu chân này?	Who made those footprints?	4		0
vo_eny_eny_	static_00_	detect_footsteps_02	vo_eny_eny_static_00_detect_footsteps_02	omuk		Static	dismissive	sees player footprints	Dấu vết này là của ai?	Who left those tracks?	4		0
vo_eny_eny_	static_00_	detect_footsteps_03	vo_eny_eny_static_00_detect_footsteps_03	omuk		Static	dismissive	sees player footprints	Dấu vết của kẻ lạ mặt!	Those tracks do not belong here…	6		0
vo_eny_eny_	static_00_	detect_footsteps_04	vo_eny_eny_static_00_detect_footsteps_04	omuk		Static	dismissive	sees player footprints	Có kẻ lén lút ở quanh đây?	Someone must be sneaking around…	5		0
