4,2,9		CUTSCENE CONTEXT WORLD				NINJA TRAPPER WARRIOR ALCHEMIST GEISHA TANUKI SHOGUN SHOGUNSON DAIMYO GENERAL BROGUN BROGUNSON	Hayato  Yuki  Ōshiro Mugen Takuma  Aiko  Kuma Shogun Ryūnosuke Yabu Okkoto Noboru Masaru	STORY:	1) Killing Noboru has saved the country. 2) The Shogun gets a new heir. 3)  The team members go seperate ways.																												
																																					
OUTRO									Stylyzed render cutscene with narration.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_finalcastle_outro_n00				NARRATOR			Với cái chết của lãnh chúa Noboru, Japan đã khép lại một thế kỉ chiến tranh khác. Những âm mưu của Kage-sama cuối cùng cũng đã kết thúc.	22		0																									
vocs_over_over_	_n01	vocs_over_over_finalcastle_outro_n01				NARRATOR			Sự thật không bao giờ được biết đến. Sử sách nói rằng Noboru bị quản thúc dưới ngôi nhà của anh trai và hắn đã tự tử.	22		0																									
vocs_over_over_	_n02	vocs_over_over_finalcastle_outro_n02				NARRATOR			Sau khi những đồng đội trả thù cho Mugen, họ đã chia ly nhau từ đấy. Không một ai biết tới họ, mặc dù hành động của họ đã truyền cảm hứng cho vô số huyền thoại khác.	21		0																									
vocs_over_over_	_n03	vocs_over_over_finalcastle_outro_n03				NARRATOR			Mạc chúa sinh thêm một đứa con trai nữa. Triều đại của ngài ấy ổn định hòa bình trong gần ba thế kỷ, mặc dù đâu đó vẫn còn nhiều âm mưu và các cuộc nổi loạn.	25		0																									
vocs_over_over_	_n05	vocs_over_over_finalcastle_outro_n05				NARRATOR			Người ta chỉ có thể tự hỏi có bao nhiêu trận chiến và có bao nhiêu kẻ chết bởi Mạc chúa, tên của chúng không hề được nhắc tới, hành động của chúng là bí mật, câu chuyện về chúng mãi mãi là bí ẩn tận sâu trong bóng tối.	26		0																									
																																					
									MISSION-WORDCOUNT EN:	116	MISSION-WORDCOUNT DE:	#REF!		TOTAL	NINJA	TRAPPER	WARRIOR	GEISHA	ALCHEMIST	SHOGUN	SHOGUNSON	BROGUN	BROGUNSON	DAIMYO	GENERAL	NARRATOR	OFFICER	ENEMY	STATIC	SAMURAI	OFFICIAL	CIVILIAN M	CIVILIAN F	HUSBAND	GUARD1	GUARD2	FAKE
													Words	116	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0
During Credits: Pictures that illustrate the fates of all charactes. Examples													Lines	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
1) Everyone being pardoned by the Shogun																																					
2) Everyone standing at a memorial to Mugen																																					
3) Yuki and Takuma working on a new trap, with Kuma watching																																					
4) Hayato and Aiko drinking sake together and having a good conversation (Hayato being more drunk than Aiko)																																					
5) Everyone saying farewell to each other.																																					
6) Hayato wandering through untouched landscape																																					
7) Yuki and Takuma on a busy market																																					
8) Hayato helping a merchant who is attacked by bandits																																					
9) Takuma explaining a strange device to Yuki																																					
10) Aiko standing before her recruits for the Shogun special unit																																					
11) Closeup of Aikos determined face																																					
