4,2,9		CUTSCENE CONTEXT DIALOG				NINJA TRAPPER WARRIOR ALCHEMIST GEISHA TANUKI SHOGUN SHOGUNSON DAIMYO GENERAL BROGUN BROGUNSON	Hayato  Yuki  Ōshiro Mugen Takuma  Aiko  Kuma Shogun Ryūnosuke Yabu Okkoto Noboru Masaru	STORY:	1) 3 years after the battle. Mugen has an audience with the Shogun. 2) They discuss Kage-sama, a dangerous criminal that plots against the Shogun. 3) Mugen gets the mission from the Shogun to hunt Kage-sama. 4) The Shogun's brother (=Kage-sama), son and nephew are also  setup here. 5) Mugen recruits his old comrade Hayato. 6) Hayato's first assignment is a convoy raid. The convoy is tied to Kage-sama.	1) 3 years after the battle. Mugen has an audience with the Shogun. 2) They discuss Kage-sama, a dangerous criminal that plots against the Shogun. 3) Mugen gets the mission from the Shogun to hunt Kage-sama. 4) The Shogun's brother (=Kage-sama), son and nephew are also  setup here. 5) Mugen recruits his old comrade Hayato. 6) Hayato's first assignment is a convoy raid. The convoy is tied to Kage-sama.																												
																																						
INTRO2									Render Cutscene with narration	Render Cutscene with narration																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_cinematic1_n00				NARRATOR			Sau khi thành Osaka thất thủ, Nhật Bản đã được thống nhất bởi sự cai trị của Mạc Chúa mới.	After the fall of Osaka Castle, Japan was united under the rule of the new Shogun.	16		0																									
vocs_over_over_	_n01	vocs_over_over_cinematic1_n01				NARRATOR			Trong những năm này, Mạc Chúa ban hành những luật mới giúp ổn định quốc gia. Văn hóa và nền kinh tế phát triển cũng như đất nước và con người đã vực dậy sau nhiều năm xung đột.	In the following years, the Shogun's new laws stabilize the nation. Culture and the economy flourish as the land and its people recover from years of conflict.	27		0																									
vocs_over_over_	_n02	vocs_over_over_cinematic1_n02				NARRATOR			Nhưng hòa bình mỏng manh này bây giờ đang bị đe dạo. Tin đồn lan truyền một âm mưu muốn lật đổ Mạc Chúa.	But now this fragile peace is threatened. Rumor spreads of a conspiracy to overthrow the Shogun.	16		0																									
vocs_over_over_	_n03	vocs_over_over_cinematic1_n03				NARRATOR			Không một ai biết tới danh tính của kẻ cầm đầu. Nhưng một cái tên đang được thì thầm trong khác khu phố: "Kage-sama".	No one knows the identity of the leader. But a name is whispered in the streets: "Kage-sama".	17		0																									
																																						
EDO									Edo Castle: Mugen trains with Ryūnosuke, the Shogun's son, and Masaru, the Shogun's nephew. They are interrupted when Mugen is summoned to the Shogun.	Edo Castle: Mugen trains with Ryūnosuke, the Shogun's son, and Masaru, the Shogun's nephew. They are interrupted when Mugen is summoned to the Shogun.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	EN	CEN	DE	CDE																									
						TITLECARD			Edo Castle, 3 years after the battle of Osaka Castle	Edo Castle, 3 years after the battle of Osaka Castle			0																									
vocs_over_over_	_n05	vocs_over_over_firstcastle_post_n05				WARRIOR	teaching	cares for his pupils	Đòn tấn công cuối của ngài khá là có hồn, tuy nhiên ngài lại bỏ qua yếu tố phòng thủ. Một Samurai phải có lòng kiên nhẫn, thiếu nó thì ngài sẽ phải trả giá rất đắt.	Your last attack showed spirit, but you both neglected your defense. A samurai must have patience, for its lack will cost him dearly.	23		0																									
vocs_over_over_	_n06	vocs_over_over_firstcastle_post_n06				SHOGUNSON	respectful	respects his teacher	Ta hiểu, Mugen-sensei.	I understand, Mugen-sensei.	3		0																									
vocs_over_over_	_n07	vocs_over_over_firstcastle_post_n07				BROGUNSON	slightly disrespectful		Kể cả bọn ta hợp lực cũng không ăn được thầy. Có phải thầy đang thưởng thức thất bại của bọn ta?!	Even together we are no match for you. Does our sensei enjoy beating us?!	14		0																									
vocs_over_over_	_n07a	vocs_over_over_firstcastle_post_n07a				BROGUNSON	disrespectful	ALTERNATIVE	Thật vô nghĩa! Ngay cả hợp lực cũng không thể chiến thắng! Có phải thầy đang thưởng thức thất bại của bọn ta?!	This is pointless! Even together we could not win! Does our sensei enjoy beating us?!	15		0																									
vocs_over_over_	_n08	vocs_over_over_firstcastle_post_n08				WARRIOR	teaching		Thần đang tận hưởng sự tiến bộ của ngài, Masaru-sama. Ngài và Ryūnosuke-sama là cháu của cha ngài. Tài năng ẩn chứa bên trong ngài.	I enjoy your progress, Masaru-sama. You and Ryūnosuke-sama are your fathers' children. Their talent lies within you.	17		0																									
vocs_over_over_	_n09	vocs_over_over_firstcastle_post_n09				SHOGUNSON	slightly depressed		Và giờ, thầy hạ bọn con với một thế duy nhất.	And yet, you defeated us both with a single strike.	10		0																									
vocs_over_over_	_n10	vocs_over_over_firstcastle_post_n10				WARRIOR	good natured		Kiên nhẫn. Thần biết sẽ có ngày thần buộc phải quỳ gối dưới hai người.	Patience. I know the day will come when the two of you will force me to my knees.	18		0																									
vocs_over_over_	_n11	vocs_over_over_firstcastle_post_n11				BROGUNSON	frustrated		Ta mong ngày đó sẽ đến...	I look forward to that day…	6		0																									
vocs_over_over_	_n12	vocs_over_over_firstcastle_post_n12				CIVILIAN M	submissive	as servant	Xin ngài thứ lỗi. Mạc Chúa yêu cầu Mugen-sama diện kiến.	Apologies, my lords. The Shogun has requested Mugen-sama's presence.	9		0																									
vocs_over_over_	_n13	vocs_over_over_firstcastle_post_n13				WARRIOR	good natured	to servant, then to Ryūnosuke, bowing	Ta sẽ tới liền. Hãy tha lỗi cho thần, thưa hai người.	I will come at once. Forgive me, my lords.	9		0																									
vocs_over_over_	_n14	vocs_over_over_firstcastle_post_n14				SHOGUNSON	respectful		Dĩ nhiên. Hãy gửi lời hỏi thăm của ta tới cha nhé.	Of course. Please give my regards to my father.	9		0																									
																																						
AUDIENCE CHAMBER									Audience chamber: We briefly see Noboru, the Shogun's brother, then the Shogun gives Mugen the task to hunt Kage-sama. No one knows that Noboru is Kage-sama.	Audience chamber: We briefly see Noboru, the Shogun's brother, then the Shogun gives Mugen the task to hunt Kage-sama. No one knows that Noboru is Kage-sama.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	EN	CEN	DE	CDE																									
						TITLECARD			Audience chamber	Audience chamber			0																									
vocs_over_over_	_n15	vocs_over_over_firstcastle_post_n15				BROGUN	respectful disagreement		Anh trai. Nếu anh cho em quyền chỉ huy quân đội Mạc Phủ, em sẽ săn lùng Kage-sama ở bất cứ nơi nào mà có người nhắc đến tên của hắn.	Brother. If you give me command of the Shogunate troops, I will hunt down Kage-sama wherever a person speaks his name.	21		0																									
vocs_over_over_	_n16	vocs_over_over_firstcastle_post_n16				SHOGUN	with authority		Rồi ta sẽ, nếu thực sự cần đến biện pháp quyết liệt như vậy. Còn bây giờ, em vẫn phải cúi đầu khôn ngoan trước Mạc Chúa này. Hãy nói chuyện này tiếp vào ngày mai nhé.	I will, if the need arises for such drastic measures. For now, you will bow to the wisdom of your Shogun. Let us speak again tomorrow.	26		0																									
vocs_over_over_	_n17	vocs_over_over_firstcastle_post_n17				BROGUN	respectful	bows and turns to leave	Dĩ nhiên rồi. Em sẽ chờ tin của anh.	Of course, brother. I will await your messenger.	8		0																									
vocs_over_over_	_n18	vocs_over_over_firstcastle_post_n18				BROGUN	respectful greeting	meets Mugen on the way out	Mugen-san.	Mugen-san.	1		0																									
vocs_over_over_	_n19	vocs_over_over_firstcastle_post_n19				WARRIOR	very respectful greeting		Lãnh chúa Noboru.	Lord Noboru.	2		0																									
vocs_over_over_	_n20	vocs_over_over_firstcastle_post_n20				WARRIOR	absolute respect	kneels before Shogun	Thần xin diện kiến, hỡi Mạc Chúa.	You wished to see me, my Shogun.	7		0																									
vocs_over_over_	_n21	vocs_over_over_firstcastle_post_n21				SHOGUN	with authority	this is important	Mugen. Ta nhận được một tin từ gián điệp nói về một cuộc vận chuyển trái phép. Những xe hàng chất đầy hỏa lực đang tiến về Kyōto.	Mugen. I received a message from our spies telling me of an illegal transport. There are wagons loaded with firearms bound for Kyōto.	23		0																									
vocs_over_over_	_n22	vocs_over_over_firstcastle_post_n22				WARRIOR	surprised then eager		Đó là Kage-sama? Hắn muốn lộ diện rồi ư?	Is it Kage-sama? Has he exposed himself?	7		0																									
vocs_over_over_	_n23	vocs_over_over_firstcastle_post_n23				SHOGUN	with authority	has confidence in Mugen	Chắc vậy. Ta muốn thần chặn cuộc vận chuyển này. Tìm hiểu xem chúng đến từ đâu, và lần mò theo tung tích của kẻ địch.	It appears so. I want you to seize this transport. Find out where it came from, and you will no doubt find our enemy.	24		0																									
vocs_over_over_	_n24	vocs_over_over_firstcastle_post_n24				WARRIOR	loyalty		Rất hãnh diện phụng sự ngài, Mạc Chúa của thần.	I live to serve you, my Shogun.	7		0																									
vocs_over_over_	_n25	vocs_over_over_firstcastle_post_n25				SHOGUN	slight tone of warning		Vấn đề này đòi hỏi xử lý cẩn thận. Thần được ủy quyền hành động bởi ta. Nếu cần trợ giúp, hãy lựa chọn cẩn thận.	This matter requires delicate hands. You will act with my authority. If you need assistance, choose with care.	19		0																									
vocs_over_over_	_n26	vocs_over_over_firstcastle_post_n26				WARRIOR	confident	means Hayato	Thần đã có tên của một người ở trong đầu.	I already have someone in mind.	6		0																									
vocs_over_over_	_n27	vocs_over_over_firstcastle_post_n27				SHOGUN	with authority		Xuất sắc. Tới đó đi, Mugen. Mang Kage-sama về đây cho ta.	Excellent. Go then, Mugen. Bring me Kage-sama.	7		0																									
vocs_over_over_	_n28	vocs_over_over_firstcastle_post_n28				WARRIOR	confident	bows and leaves	Sẽ không làm ngài thất vọng, Mạc Chúa của thần.	I will not disappoint you, my Shogun.	7		0																									
																																						
TAVERN									Tavern: Mugen hires Hayato	Tavern: Mugen hires Hayato																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	EN	CEN	DE	CDE																									
						–		TITLECARD	A few days later	A few days later			0																									
vocs_over_over_	_n29	vocs_over_over_firstcastle_post_n29				WARRIOR	greeting	enters the tavern, sits next to Hayato-san	Tìm cậu không dễ chút nào, Hayato-san.	You are not an easy man to find, Hayato-san.	9		0																									
vocs_over_over_	_n30	vocs_over_over_firstcastle_post_n30				NINJA	smug	takes a drink	Khá bận do công việc. Tuy nhiên tôi nhận được tin nhắn của anh. Cần giúp một lần nữa hả?	It's part of the job. Still, I got your message. Need my help again?	14		0																									
vocs_over_over_	_n31	vocs_over_over_firstcastle_post_n31				WARRIOR	direct	takes a drink	Tôi nhận được một nhiệm vụ khó nhằn, tôi sẽ không ngại…chia sẻ nó với người tôi tin tưởng.	I have been given a difficult task, one I wouldn't mind…sharing, with people I trust.	15		0																									
vocs_over_over_	_n32	vocs_over_over_firstcastle_post_n32				NINJA	skeptical		Thư của anh…có nhắc đến Kage-sama. Tôi nghĩ đó chỉ là tin đồn.	Your letter…it mentioned Kage-sama. Thought that was just a rumor.	10		0																									
vocs_over_over_	_n33	vocs_over_over_firstcastle_post_n33				WARRIOR	undeterred		Oh, hắn có thật, tôi đảm bảo với cậu. Do đó Mạc Chúa thấy hắn đe dọa tới hòa bình. Hắn sẽ là mục tiêu đi săn của chúng ta.	Oh, he is real, I assure you. So real that the Shogun sees him as a threat to the peace. It will be him that we will hunt.	28		0																									
