5,2,9		CUTSCENE CONTEXT DIALOG				NINJA TRAPPER WARRIOR ALCHEMIST GEISHA TANUKI SHOGUN SHOGUNSON DAIMYO GENERAL BROGUN BROGUNSON	Hayato  Yuki  Ōshiro Mugen Takuma  Aiko  Kuma Shogun Ryūnosuke Yabu Okkoto Noboru Masaru	STORY:	1) The team discusses their attack against the Daimyo Yabu 2) Takuma urges them to take action because he wants revenge 3) Mugen decides that an attack on Yabu's mansion is justified 4) The plan is to either aprehend or kill Yabu before he escapes 5) Mugen and Aiko will report to the Shogun 6) Hayato, Yuki and Takuma will face Yabu	1) The team discusses their attack against the Daimyo Yabu 2) Takuma urges them to take action because he wants revenge 3) Mugen decides that an attack on Yabu's mansion is justified 4) The plan is to either aprehend or kill Yabu before he escapes 5) Mugen and Aiko will report to the Shogun 6) Hayato, Yuki and Takuma will face Yabu																												
																																						
POST									The team plans their next move in the meeting place.	The team plans their next move in the meeting place.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	EN - Proofread	CEN	DE	CDE	Column1																								
						TITLECARD			Safe house	Safe house	2		0																									
vocs_over_over_	_n00	vocs_over_over_monastery1_post_n00				NINJA	impressed		Vậy lão đã ăn quả pháo, và chỉ phải trả một cái chân? Heh. Phải nói rằng quá ấn tượng. Giờ lão ấy đang làm gì?	So he took that cannon blast, and it only cost him a leg? Heh. Got to say, I'm impressed. What is he doing now?	24		0																									
vocs_over_over_	_n01	vocs_over_over_monastery1_post_n01				WARRIOR	pondering		Bọn tôi cung cấp cho lão công cụ và vật liệu. Lão đang làm việc trong phòng mình từ lúc đó tới giờ.	We supplied him with tools and materials. He has been working in his chamber ever since.	16		0																									
vocs_over_over_	_n02	vocs_over_over_monastery1_post_n02				GEISHA	skeptical		Dường như lão đã sẵn sàng để tham gia phụng sự cho Mạc Chúa. Kế hoạch bù đắp cho cái chân...khuyết tật của lão sẽ như nào?	He seemed willing to enter the Shogun's services. How does he plan to compensate for his…disability?	16		0																									
vocs_over_over_	_n03	vocs_over_over_monastery1_post_n03				WARRIOR	reassuring		Rồi chúng ta sẽ biết thôi. Còn nhiệm vụ do thám của cậu thế nào, Hayato-san?	We will know soon enough. How was your scouting mission, Hayato-san?	11		0																									
vocs_over_over_	_n04	vocs_over_over_monastery1_post_n04				NINJA	it was OK	to Table	Chúng ta đã biết được biệt thự của lãnh chúa Yabu. Nơi rộng lớn, canh gác cẩn mật. Bị vây kín bởi những bức tường, nhưng Yuki đã tìm được cách lẻn vào trong.	We had a look at Lord Yabu's mansion. Big place, heavily guarded. It's closed off by a wall, but Yuki found a way inside.	24		0																									
vocs_over_over_	_n05	vocs_over_over_monastery1_post_n05				WARRIOR	planning		Nghe có vẻ đầy hứa hẹn. Nhắc đến chuyện này, Yuki-chan đâu rồi?	That sounds promising. Speaking of whom, where is Yuki-chan?	9		0																									
vocs_over_over_	_n06	vocs_over_over_monastery1_post_n06				TRAPPER	enthusiastic	enters the room	Đây nè, Samurai Xịn!	Here, master samurai!	3		0																									
vocs_over_over_	_n07	vocs_over_over_monastery1_post_n07				ALCHEMIST	cheerful	Takuma and his Tanuki enter	Hehe! Ta phải nói rằng, Mugen, nhóc cộng sự này đầy tính tò mò đấy.	Hehe! I must say, Mugen, your young companion is full of curiosity.	12		0																									
vocs_over_over_	_n08	vocs_over_over_monastery1_post_n08				NINJA	aknowledging		Rất vui được gặp lại, lão già.	Good to see you, old man.	6		0																									
vocs_over_over_	_n09	vocs_over_over_monastery1_post_n09				ALCHEMIST	cheerful		Ah, chàng Shinobi trẻ. Hayato, phải không? Ta cũng vui được gặp cậu.	Ah, the young shinobi. Hayato, is it? Good to see you, too.	12		0																									
vocs_over_over_	_n10	vocs_over_over_monastery1_post_n10				WARRIOR	approving	Yuki spots Tanuki	Takuma-san. Lão đã sẵn sàng cho vụ này chưa?	Takuma-san. Are you ready for the field?	7		0																									
vocs_over_over_	_n11	vocs_over_over_monastery1_post_n11				ALCHEMIST	cheerful		Erm…một chút rỉ sét, có thể.	Erm…a bit rusty, maybe.	4		0																									
vocs_over_over_	_n12	vocs_over_over_monastery1_post_n12				ALCHEMIST	cheerful	feels the weight of the backpack	Tất cả mọi thứ đè nặng tâm trí của ta.	Everything weighs less in my memory.	6		0																									
vocs_over_over_	_n13	vocs_over_over_monastery1_post_n13				WARRIOR	moving on	Yuki goes to Tanuki and  plays with it.	Vậy, chúng ta hãy bàn về chiến thuật.	Then, let us discuss strategy.	5		0																									
vocs_over_over_	_n14	vocs_over_over_monastery1_post_n14				WARRIOR	planning	everyone else at the table	Tội lỗi của lãnh chúa Yabu đã được chứng minh. Chỉ có hắn liên minh với Kage-sama, nhưng tôi tin hắn cũng chính là gã này.	Lord Yabu's guilt is proven. He might only be allied with Kage-sama, but I believe he is the man himself.	20		0																									
vocs_over_over_	_n15	vocs_over_over_monastery1_post_n15				NINJA	practical		Chỉ có một cách để tìm ra. Nếu muốn bắt được hắn, chúng ta phải triển khai ngay.	Only one way to find out. If we want to get him, we better move now.	16		0																									
vocs_over_over_	_n16	vocs_over_over_monastery1_post_n16				WARRIOR	considering		Không còn nghi ngờ gì việc hắn sẽ biết chúng ta tới đó. Đây sẽ là nhiệm vụ nguy hiểm nhất từ trước giờ.	No doubt he will see us coming. It will be the most dangerous mission yet.	15		0																									
vocs_over_over_	_n17	vocs_over_over_monastery1_post_n17				ALCHEMIST	determined	puts a box on the table	Hmm! Rồi chúng ta phải chuẩn bị mọi thứ. Đây. Ta làm thứ này cho cậu.	Hmm! Then we must be prepared. Here. I made one for each of you.	14		0																									
vocs_over_over_	_n18	vocs_over_over_monastery1_post_n18				NINJA	curious appreciating	takes a gun from the box	Súng ngắn hỏa mai? Chưa bao giờ thấy thứ nhỏ thế này… Cũng không quá nát, lão già.	Matchlock pistols? Never seen one so small… Not too shabby, old man.	12		0																									
vocs_over_over_	_n19	vocs_over_over_monastery1_post_n19				ALCHEMIST	thankful for the rescue	puts a box on the table	Chuyến nghỉ mát cuối cùng của sự tuyệt vọng. Đây là đóng góp đầu tiên của ta. Hehe, có thể Yabu suy sụp thêm lần nữa.	A last resort for desperate times. My first contribution. Hehe, may Yabu's downfall be the next.	16		0																									
vocs_over_over_	_n20	vocs_over_over_monastery1_post_n20				NINJA	practical	puts the gun away	Đoán là tôi sẽ đi với lão. Lão sẽ giúp mọi thứ mà lão có thể làm được.	Guess I'll come with you then. You'll need all the help you can get.	14		0																									
vocs_over_over_	_n21	vocs_over_over_monastery1_post_n21				TRAPPER	enthusiastic	stops petting the tanuki	Oh…Em cũng muốn tới đó!	Oh…I want to come, too!	5		0																									
vocs_over_over_	_n22	vocs_over_over_monastery1_post_n22				ALCHEMIST	thankful for the rescue		Hehe! Ta cảm kích với sự hỗ trợ của cháu!	Hehe! I appreciate your support!	5		0																									
vocs_over_over_	_n23	vocs_over_over_monastery1_post_n23				WARRIOR	determined		Tốt lắm. Tôi ban cho cậu mọi phước lành để làm bất cứ điều gì cần thiết. Tôi sẽ tới Edo. Mạc Chúa cần biết về kế hoạch của chúng ta.	Very well. You have my blessings to do whatever is necessary. I shall travel to Edo. The Shogun will want to know of our plan.	25		0																									
vocs_over_over_	_n24	vocs_over_over_monastery1_post_n24				GEISHA	elegant		Vậy em sẽ đi cùng anh. Đã từ lâu rồi chúng ta không có thời gian yên bình bên nhau.	Then I will accompany you. It has been a long time since we enjoyed a peaceful moment together.	18		0																									
