5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) Team is split into two groups: Hayato+Mugen and Takuma+Yuki
2) Both tackle the fortress from different sides. They talk on the way.
3) Hayato and Mugen work together like old times. They talk about honor.
4) Hayato sees no point in honor, but Mugen's explanation makes him think.
5) Yuki was born in Kanazawa and lost her parents when it fell during the war.
6) She relives these memories now, Takuma stabilizes her, sealing their bond.
7) Once inside the castle, the team regroups and blows up the supply depot.
8) Eventually the team confronts Okkoto. A battle ensues.
9) Mortally wounded, Okkoto reveals new information about Kage-sama."																												
																																					
BRIEFING									Noboru instructs the team Commandos style																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
						TITLECARD			Kanazawa city			0																									
vocs_over_over_	_n00	vocs_over_over_uprising_briefing_n00	omuk		mo	BROGUN	commanding	Cam at start	The rebels have fortified themselves in Kanazawa Castle. You will infiltrate the stronghold and weaken them from the inside. 	20		0																									
vocs_over_over_	_n01	vocs_over_over_uprising_briefing_n01	omuk		mo	BROGUN	commanding	Cam to 1, then 2	You will act in two groups and attack the castle from both sides.	13		0																									
vocs_over_over_	_n02	vocs_over_over_uprising_briefing_n02	omuk		mo	BROGUN	commanding	Cam to wall with officer	My forces are facing Okkoto's men head-on. You killing his officers will allow the men to advance.	17		0																									
vocs_over_over_	_n03	vocs_over_over_uprising_briefing_n03	omuk		mo	BROGUN	commanding	Cam to depot	Find your way inside the castle walls and blow up the supply depot.	13		0																									
vocs_over_over_	_n04	vocs_over_over_uprising_briefing_n04	omuk		mo	BROGUN	commanding	Cam to Okkoto	Once this is done, you are free to engage General Okkoto.	11		0																									
vocs_over_over_	_n05	vocs_over_over_uprising_briefing_n05	omuk		mo	BROGUN	commanding		His death will seal the rebels' defeat. He is a formidable foe, so be prepared before you face him.	19		0																									
vocs_over_over_	_n06	vocs_over_over_uprising_briefing_n06	omuk		mo	BROGUN	commanding	Cam to player start	Your actions will be the turning point of the battle. You must not fail.	14		0																									
																																					
DUTY1									Hayato and Mugen start their mission.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_uprising_duty1_n00	omuk		mo	NINJA	focussed	Hayato first	Pretty hectic around here.	4		0																									
vocs_over_over_	_n01	vocs_over_over_uprising_duty1_n01	omuk		mo	WARRIOR	rush of battle		Once again we face impossible odds, you and me!	9		0																									
vocs_over_over_	_n02	vocs_over_over_uprising_duty1_n02	omuk		mo	NINJA	smug		Got to admit, working with you doesn't get boring.	9		0																									
vocs_over_over_	_n03	vocs_over_over_uprising_duty1_n03	omuk		mo	WARRIOR	rush of battle		Ha! From you, I take that as a compliment.	9		0																									
																																					
DUTY2									Mugen and Hayato advance into enemy territory.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_uprising_duty2_n00	omuk		mo	NINJA	tense	Hayato first	Close one back there…	4		0																									
vocs_over_over_	_n01	vocs_over_over_uprising_duty2_n01	omuk		mo	WARRIOR	rush of battle		The walls aren't far now. We must look death in the face! Hahaha.	13		0																									
vocs_over_over_	_n02	vocs_over_over_uprising_duty2_n02	omuk		mo	NINJA	honest question		Mugen, can I ask you something? Why are you always so eager to die? Does honor really mean that much to you?	22		0																									
vocs_over_over_	_n03	vocs_over_over_uprising_duty2_n03	omuk		mo	WARRIOR	simple answer		I merely serve my Shogun, as is my duty. Why are you asking, Hayato-san? Are you not here beside me?	20		0																									
vocs_over_over_	_n04	vocs_over_over_uprising_duty2_n04	omuk		mo	NINJA	not satisfied		Oh, I'm getting paid. That's very different.	7		0																									
																																					
DUTY3									Mugen and Hayato reach the castle entrance.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_uprising_duty3_n00	omuk		mo	WARRIOR	honest	Mugen first	We are almost inside…	4		0																									
vocs_over_over_	_n02	vocs_over_over_uprising_duty3_n02	omuk		mo	NINJA	stubborn		I don't get it. Honor doesn't buy you anything. Especially when you're dead.	13		0																									
vocs_over_over_	_n03	vocs_over_over_uprising_duty3_n03	omuk		mo	WARRIOR	direct		Then tell me, Hayato-san. Why have you followed me into this chaos, this madness? Is money really the reason?	19		0																									
vocs_over_over_	_n04	vocs_over_over_uprising_duty3_n04	omuk		mo	NINJA	lost for words	has never thought about it	That's… I…	2		0																									
vocs_over_over_	_n05	vocs_over_over_uprising_duty3_n05	omuk		mo	WARRIOR	honest		Every man chooses his duty. Without duty, life has no purpose. You do not have to understand my choices, Hayato-san. But I pray that you understand your own.	28		0																									
																																					
SENSEI1									Yuki and Takuma start their mission.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_uprising_sensei1_n00	omuk		mo	TRAPPER	remembering		I remember this place. Big samurai houses.	7		0																									
vocs_over_over_	_n01	vocs_over_over_uprising_sensei1_n01	omuk		mo	ALCHEMIST	curious		So you lived here, Yuki-chan?	5		0																									
vocs_over_over_	_n02	vocs_over_over_uprising_sensei1_n02	omuk		mo	TRAPPER	remembering		Yes, with Okaa-san. Not forever, though.	6		0																									
vocs_over_over_	_n03	vocs_over_over_uprising_sensei1_n03	omuk		mo	ALCHEMIST	cautious		Then why did you leave? Did something happen?	8		0																									
vocs_over_over_	_n04	vocs_over_over_uprising_sensei1_n04	omuk		mo	TRAPPER	surpressing		Bad things. Long ago. It…it was a bit like this.	10		0																									
vocs_over_over_	_n05	vocs_over_over_uprising_sensei1_n05	omuk		mo	ALCHEMIST	forget that I asked		Ah…dark memories. Forget that I asked. Let us head for the castle.	12		0																									
																																					
