4,2,9		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) After the battle of Kanazawa, everyone returns to Edo.
2) The Shogun and Noboru commend Mugen and his team for their achievements.
3) Mugen is ordered to move against Kage-sama and bring him back dead or alive.
4) Noboru, who IS Kage-sama, now knows how to set a trap for Mugen.
5) Mugen prepares his team for what he thinks is the final mission.
6) This is the closest our characters come to being a happy, complete team."																												
																																					
CINEMATIC									Narration with stylized render cutscene.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
vocs_over_over_	_n00	vocs_over_over_uprising_post_n00				NARRATOR			With General Okkoto's death, the end of the rebellion was certain. 	12		0																									
vocs_over_over_	_n01	vocs_over_over_uprising_post_n01				NARRATOR			Under Lord Noboru's command, the Shogunate army crushed the remaining rebels and restored the peace. Mugen and his companions had achieved an important victory. 	25		0																									
vocs_over_over_	_n02	vocs_over_over_uprising_post_n02				NARRATOR			Armed with the knowledge of Kage-sama's secret hideout, they traveled to Edo, where they would await the orders of the Shogun.	21		0																									
																																					
EDO									Back in Edo, Mugen, Noboru and the team present themselves to the Shogun																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	CEN	DE	CDE																									
						TITLECARD			Edo Castle audience chamber			0																									
vocs_over_over_	_n03	vocs_over_over_uprising_post_n03				SHOGUN	pleased	everyone walks before the Shogun	Ah, Lord Noboru. I was pleased when I received news of your victory.	13		0																									
vocs_over_over_	_n03a	vocs_over_over_uprising_post_n03a				SHOGUN	pleased	everyone walks before the Shogun	Your victory over the rebel Okkoto prevented this country from falling into chaos. I chose well when I entrusted you with this task, brother.	24		0																									
vocs_over_over_	_n04	vocs_over_over_uprising_post_n04				BROGUN			The Shogunate army brought about the end of the rebellion. However, it would bring me shame if I did not mention the involvement of Mugen-san and his comrades.	28		0																									
vocs_over_over_	_n05	vocs_over_over_uprising_post_n05				SHOGUN	praise		Ah yes, Mugen-san. To think that a group of only five could achieve this much. You chose well, Mugen.	19		0																									
vocs_over_over_	_n05a	vocs_over_over_uprising_post_n05a				SHOGUN	praise		Hmm…impressive. To think that a group of only five facilitated such a victory. You chose well, Mugen.	17		0																									
vocs_over_over_	_n06	vocs_over_over_uprising_post_n06				WARRIOR	proud		Your words honor us, my Shogun.	6		0																									
vocs_over_over_	_n06a	vocs_over_over_uprising_post_n06a				WARRIOR	proud		Your words honor me, my Shogun.	6		0																									
