2,3,9													
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	Vietnamese	EN	CEN	JP	CDE
vo_eny_eny_	brogun_	death_scream_00	vo_eny_eny_brogun_death_scream_00	omuk	hambo	Brogun	shocked	(sound) short deathsound			0		0
vo_eny_eny_	brogun_	death_scream_01	vo_eny_eny_brogun_death_scream_01	omuk	hambo	Brogun	shocked	(sound) short deathsound			0		0
vo_eny_eny_	brogun_	death_scream_02	vo_eny_eny_brogun_death_scream_02	omuk	hambo	Brogun	shocked	(sound) short deathsound			0		0
vo_eny_eny_	brogun_	death_scream_03	vo_eny_eny_brogun_death_scream_03	omuk	hambo	Brogun	shocked	(sound) short deathsound			0		0
vo_eny_eny_	brogun_	death_scream_04	vo_eny_eny_brogun_death_scream_04	omuk	hambo	Brogun	shocked	(sound) short deathsound			0		0
vo_eny_eny_	brogun_	death_scream_muffled_00	vo_eny_eny_brogun_death_scream_muffled_00	omuk	hambo	Brogun	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	brogun_	death_scream_muffled_01	vo_eny_eny_brogun_death_scream_muffled_01	omuk	hambo	Brogun	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	brogun_	death_scream_muffled_02	vo_eny_eny_brogun_death_scream_muffled_02	omuk	hambo	Brogun	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	brogun_	death_scream_muffled_03	vo_eny_eny_brogun_death_scream_muffled_03	omuk	hambo	Brogun	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	brogun_	death_scream_muffled_04	vo_eny_eny_brogun_death_scream_muffled_04	omuk	hambo	Brogun	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	brogun_	detect_corpse_female_02	vo_eny_eny_brogun_detect_corpse_female_02	omuk		Brogun	displeased	sees a corpse	Ả ta đã chết!	She's dead!	2		0
