2,3,9													
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN	EN	CEN	JP	CDE
vo_eny_eny_	civilian_01_	carry_object_00	vo_eny_eny_civilian_01_carry_object_00	omuk		Civilian F		(sound) carries heavy object			0		0
vo_eny_eny_	civilian_01_	clear_throat_00	vo_eny_eny_civilian_01_clear_throat_00	omuk		Civilian F		(sound) clears throat			0		0
vo_eny_eny_	civilian_01_	cough_00	vo_eny_eny_civilian_01_cough_00	omuk		Civilian F		(sound) coughs			0		0
vo_eny_eny_	civilian_01_	death_scream_00	vo_eny_eny_civilian_01_death_scream_00	omuk	hambo	Civilian F	shocked	(sound) short deathsound			0		0
vo_eny_eny_	civilian_01_	death_scream_01	vo_eny_eny_civilian_01_death_scream_01	omuk	hambo	Civilian F	shocked	(sound) short deathsound			0		0
vo_eny_eny_	civilian_01_	death_scream_02	vo_eny_eny_civilian_01_death_scream_02	omuk	hambo	Civilian F	shocked	(sound) short deathsound			0		0
vo_eny_eny_	civilian_01_	death_scream_03	vo_eny_eny_civilian_01_death_scream_03	omuk	hambo	Civilian F	shocked	(sound) short deathsound			0		0
vo_eny_eny_	civilian_01_	death_scream_04	vo_eny_eny_civilian_01_death_scream_04	omuk	hambo	Civilian F	shocked	(sound) short deathsound			0		0
vo_eny_eny_	civilian_01_	death_scream_muffled_00	vo_eny_eny_civilian_01_death_scream_muffled_00	omuk	hambo	Civilian F	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	civilian_01_	death_scream_muffled_01	vo_eny_eny_civilian_01_death_scream_muffled_01	omuk	hambo	Civilian F	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	civilian_01_	death_scream_muffled_02	vo_eny_eny_civilian_01_death_scream_muffled_02	omuk	hambo	Civilian F	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	civilian_01_	death_scream_muffled_03	vo_eny_eny_civilian_01_death_scream_muffled_03	omuk	hambo	Civilian F	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	civilian_01_	death_scream_muffled_04	vo_eny_eny_civilian_01_death_scream_muffled_04	omuk	hambo	Civilian F	struggling	(sound) muffled deathsound			0		0
vo_eny_eny_	civilian_01_	detect_corpse_female_02	vo_eny_eny_civilian_01_detect_corpse_female_02	omuk		Civilian F	in denial	sees a corpse	Cô ấy đã chết! Không...	She's dead! No…	3		0
vo_eny_eny_	civilian_01_	detect_corpse_female_03	vo_eny_eny_civilian_01_detect_corpse_female_03	omuk		Civilian F	horrified	sees a corpse	Chúng đã giết cô ấy!	They killed her!	3		0
vo_eny_eny_	civilian_01_	detect_corpse_male_00	vo_eny_eny_civilian_01_detect_corpse_male_00	omuk		Civilian F	horrified	sees a corpse	Anh ta đã chết! Không...	He's dead! No…	3		0
vo_eny_eny_	civilian_01_	detect_corpse_male_01	vo_eny_eny_civilian_01_detect_corpse_male_01	omuk		Civilian F	horrified	sees a corpse	Chúng đã giết anh ta!	They killed him!	3		0
vo_eny_eny_	civilian_01_	detect_corpse_neutral_00	vo_eny_eny_civilian_01_detect_corpse_neutral_00	omuk	hambo	Civilian F	horrified	sees a corpse	Làm ơn, đứng lên đi mà.	Please, stand up.	3		0
vo_eny_eny_	civilian_01_	detect_corpse_neutral_01	vo_eny_eny_civilian_01_detect_corpse_neutral_01	omuk	hambo	Civilian F	horrified	sees a corpse	Tàn nhẫn quá!	How horrible!	2		0
vo_eny_eny_	civilian_01_	detect_footsteps_00	vo_eny_eny_civilian_01_detect_footsteps_00	omuk	hambo	Civilian F	puzzled	sees player footprints	Hm! Tò mò ghê.	Hm! Curious.	2		0
vo_eny_eny_	civilian_01_	detect_footsteps_01	vo_eny_eny_civilian_01_detect_footsteps_01	omuk	hambo	Civilian F	puzzled	sees player footprints	Ai đi bằng lối này vậy nhỉ?	Who came this way?	4		0
vo_eny_eny_	civilian_01_	detect_footsteps_02	vo_eny_eny_civilian_01_detect_footsteps_02	omuk	hambo	Civilian F	puzzled	sees player footprints	Có người vừa mới đi qua đây ư?	Were these here before?	4		0
