5,2,9		CUTSCENE CONTEXT WORLD				NINJA TRAPPER WARRIOR ALCHEMIST GEISHA TANUKI SHOGUN SHOGUNSON DAIMYO GENERAL BROGUN BROGUNSON	Hayato  Yuki  Ōshiro Mugen Takuma  Aiko  Kuma Shogun Ryūnosuke Yabu Okkoto Noboru Masaru	STORY:	1) The convoy belongs to the local Daimyo Yabu. He could be Kage-sama. 2) Hayato has uncovered that Takuma is alive. 3) Takuma is held captive by Yabu in the temple where the convoy originated. 4) Mugen goes to meet the unknown team member there and rescue him.	1) The convoy belongs to the local Daimyo Yabu. He could be Kage-sama. 2) Hayato has uncovered that Takuma is alive. 3) Takuma is held captive by Yabu in the temple where the convoy originated. 4) Mugen goes to meet the unknown team member there and rescue him.																												
																																						
POST									In their meeting place the team discusses their next moves. Hayato appears with interesting news.	In their meeting place the team discusses their next moves. Hayato appears with interesting news.																												
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN - Proofread	EN - Proofread	CEN	DE	CDE	Column1																								
						TITLECARD			Safe house	Safe house			0																									
vocs_over_over_	_n00	vocs_over_over_snowcity_post_n00				WARRIOR	pleased	has documents on a table before him	…Ta đã không mong chờ chuyện này. Quá may mắn, thật đấy.	…Ta đã không mong chờ chuyện này. Quá may mắn, thật đấy.	9		0																									
vocs_over_over_	_n01	vocs_over_over_snowcity_post_n01				TRAPPER	a little bored	watched Mugen sift through papers	Huh?	Huh?	1		0																									
vocs_over_over_	_n02	vocs_over_over_snowcity_post_n02				WARRIOR	pleased	has documents on a table before him	Những tài liệu này là bằng chứng buộc lãnh chúa Yabu phải chịu trách nhiệm cho vụ vận chuyển vũ khí. Và còn gì đó khác khác…một cái tên ta chưa nghe thấy bao giờ.	These documents are proof that Lord Yabu is responsible for the weapon transports. And there is something else…a name I thought I'd never hear again.	25		0																									
vocs_over_over_	_n02a	vocs_over_over_snowcity_post_n02a				WARRIOR	pleased	has documents on a table before him	Những tài liệu này là bằng chứng buộc lãnh chúa Yabu phải chịu trách nhiệm cho vụ vận chuyển vũ khí. Và còn gì đó khác khác…một cái tên ta chưa nghe trong nhiều năm.	These documents are proof that Lord Yabu is responsible for the weapon transports. And there is something else…a name I have not heard for many years.	26		0																									
vocs_over_over_	_n03	vocs_over_over_snowcity_post_n03				NINJA	non-chalant	enters the room	Vẫn còn ở đó, huh.	Still at it, huh.	4		0																									
vocs_over_over_	_n04	vocs_over_over_snowcity_post_n04				TRAPPER	happy	turns to Hayato	Sensei!	Sensei!	1		0																									
vocs_over_over_	_n05	vocs_over_over_snowcity_post_n05				WARRIOR	pleased	turns to Hayato	Ah, Hayato-san. Cậu đã quyết định tham gia với chúng tôi?	Ah, Hayato-san. Have you decided to join us?	8		0																									
vocs_over_over_	_n06	vocs_over_over_snowcity_post_n06				NINJA	smug		Tôi có thể nói gì nhỉ? Mạc Chúa trả rất hậu hĩnh.	What can I say? The Shogun pays well.	8		0																									
vocs_over_over_	_n07	vocs_over_over_snowcity_post_n07				WARRIOR	more pleased		Heh. Hãy nhìn này.	Heh. Take a look at this.	6		0																									
vocs_over_over_	_n08	vocs_over_over_snowcity_post_n08				WARRIOR	planning	Hayato joins at the table	Chúng ta tìm thấy bằng chứng nói rằng Takuma-san còn sống.	We have found evidence that Takuma-san is alive.	8		0																									
vocs_over_over_	_n09	vocs_over_over_snowcity_post_n09				NINJA	perplexed		Takuma-san… Chờ chút, lão thiện xạ già đã giúp chúng ta ở thành Osaka? Tôi nghĩ ông ta đã chết bởi một khẩu pháo!	Takuma-san… Wait, the old marksman who helped us at Osaka Castle? I thought he got killed by a cannon!	19		0																									
vocs_over_over_	_n10	vocs_over_over_snowcity_post_n10				WARRIOR	explaining		Còn sống nhăn răng. Tài liệu nhắc đến lão là tù nhân của lãnh chúa Yabu, bị giam giữ tại đền thờ cổ trên núi Tsuru.	Apparently he survived. The documents mention him as a prisoner of Lord Yabu, held captive at an old temple on Mount Tsuru.	22		0																									
vocs_over_over_	_n11	vocs_over_over_snowcity_post_n11				NINJA	intrigued		Huh… Không cách thị trấn Imai là mấy.	Huh… That's not far from Imai town.	7		0																									
vocs_over_over_	_n11a	vocs_over_over_snowcity_post_n11a				NINJA	intrigued		Huh…lão già tội nghiệp. Tự hỏi chúng muốn gì ở lão ta.	Huh…tough old man. Wonder what they want with him there.	10		0																									
